Campaign,Date,City/Location,Latitude,Longitude,Channel,Device,Ad,Impressions,"CTR, %",Clicks,Daily Average CPC,"Spend, GBP",Conversions,"Total conversion value, GBP",Likes (Reactions),Shares,Comments,Concatenated value
Fall,9/1/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1841,0.0172,31.6652,0.8625,27.311235,1,67.2,71,6,6,Fall-Birmingham-Collection
Fall,9/1/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1328,0.0091,12.0848,2.4725,29.879668,2,280.224,78,10,4.5,Fall-Birmingham-Discount
Fall,9/1/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Mobile,Collection,1998,0.014,27.972,0.53,14.82516,1,160.72,70,44,10,Fall-Birmingham-Collection
Fall,9/1/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Mobile,Discount,1886,0.0072,13.5792,0.85,11.54232,7,114.8,110,20,5,Fall-Birmingham-Discount
Fall,9/1/2023 0:00,Birmingham,52.489471,-1.898575,Instagram,Desktop,Collection,1924,0.0187,35.9788,0.322,11.5851736,1,55.44,74,10,7.5,Fall-Birmingham-Collection
Fall,9/1/2023 0:00,Birmingham,52.489471,-1.898575,Instagram,Desktop,Discount,1099,0.01188,13.05612,1.2305,16.06555566,9,884.4,74,1,4.5,Fall-Birmingham-Discount
Fall,9/1/2023 0:00,Birmingham,52.489471,-1.898575,Instagram,Mobile,Collection,2639,0.01232,32.51248,0.83,26.9853584,3,36.4,32,15,8,Fall-Birmingham-Collection
Fall,9/1/2023 0:00,Birmingham,52.489471,-1.898575,Instagram,Mobile,Discount,2064,0.00781,16.11984,1.19,19.1826096,5,315,107,6,6,Fall-Birmingham-Discount
Fall,9/1/2023 0:00,Birmingham,52.489471,-1.898575,Pinterest,Desktop,Collection,1576,0.0155,24.428,0.598,14.607944,3,212.4,29,8,9,Fall-Birmingham-Collection
Fall,9/1/2023 0:00,Birmingham,52.489471,-1.898575,Pinterest,Desktop,Discount,1325,0.0083,10.9975,1.104,12.14124,4,343.2,44,6,6,Fall-Birmingham-Discount
Fall,9/1/2023 0:00,Birmingham,52.489471,-1.898575,Pinterest,Mobile,Collection,2360,0.0079,18.644,1.1,20.5084,4,333,58,10,4,Fall-Birmingham-Collection
Fall,9/1/2023 0:00,Birmingham,52.489471,-1.898575,Pinterest,Mobile,Discount,2391,0.0085,20.3235,0.21,4.267935,2,250,71,9,5,Fall-Birmingham-Discount
Fall,9/1/2023 0:00,London,51.50735,-0.12776,Facebook,Desktop,Collection,2004,0.0215,43.086,1.288,55.494768,6,17.28,25,12,15,Fall-London-Collection
Fall,9/1/2023 0:00,London,51.50735,-0.12776,Facebook,Desktop,Discount,1999,0.0117,23.3883,2.484,58.0965372,4,39.6,40,10,10.5,Fall-London-Discount
Fall,9/1/2023 0:00,London,51.50735,-0.12776,Facebook,Mobile,Collection,3566,0.0111,39.5826,0.31,12.270606,6,42.4,70,18,15,Fall-London-Collection
Fall,9/1/2023 0:00,London,51.50735,-0.12776,Facebook,Mobile,Discount,3392,0.0136,46.1312,1.72,79.345664,7,117.6,101,2,8,Fall-London-Discount
Fall,9/1/2023 0:00,London,51.50735,-0.12776,Instagram,Desktop,Collection,1898,0.01683,31.94334,0.897,28.65317598,3,220.92,19,1,4.5,Fall-London-Collection
Fall,9/1/2023 0:00,London,51.50735,-0.12776,Instagram,Desktop,Discount,1625,0.01815,29.49375,1.6215,47.82411563,4,283.2,102,16,12,Fall-London-Discount
Fall,9/1/2023 0:00,London,51.50735,-0.12776,Instagram,Mobile,Collection,2849,0.01628,46.38172,1.02,47.3093544,4,130.2,20,2,7,Fall-London-Collection
Fall,9/1/2023 0:00,London,51.50735,-0.12776,Instagram,Mobile,Discount,2421,0.01012,24.50052,1.6,39.200832,2,166,106,21,12,Fall-London-Discount
Fall,9/1/2023 0:00,London,51.50735,-0.12776,Pinterest,Desktop,Collection,1540,0.0189,29.106,1.2305,35.814933,7,266.4,50,6,1.5,Fall-London-Collection
Fall,9/1/2023 0:00,London,51.50735,-0.12776,Pinterest,Desktop,Discount,2107,0.0113,23.8091,0.414,9.8569674,8,483.6,44,11,10.5,Fall-London-Discount
Fall,9/1/2023 0:00,London,51.50735,-0.12776,Pinterest,Mobile,Collection,2934,0.0122,35.7948,0.33,11.812284,1,135,52,26,1,Fall-London-Collection
Fall,9/1/2023 0:00,London,51.50735,-0.12776,Pinterest,Mobile,Discount,1596,0.0053,8.4588,0.57,4.821516,4,275,56,42,8,Fall-London-Discount
Fall,9/1/2023 0:00,Manchester,53.483959,-2.244644,Facebook,Desktop,Collection,2259,0.0218,49.2462,1.3455,66.2607621,1,350.784,50,29,13.5,Fall-Manchester-Collection
Fall,9/1/2023 0:00,Manchester,53.483959,-2.244644,Facebook,Desktop,Discount,1874,0.0194,36.3556,1.7595,63.9676782,6,19.2,111,13,15,Fall-Manchester-Discount
Fall,9/1/2023 0:00,Manchester,53.483959,-2.244644,Facebook,Mobile,Collection,1780,0.0109,19.402,0.28,5.43256,0,119.28,72,21,7,Fall-Manchester-Collection
Fall,9/1/2023 0:00,Manchester,53.483959,-2.244644,Facebook,Mobile,Discount,2452,0.0101,24.7652,1.73,42.843796,6,119,104,22,9,Fall-Manchester-Discount
Fall,9/1/2023 0:00,Manchester,53.483959,-2.244644,Instagram,Desktop,Collection,1664,0.02299,38.25536,0.092,3.51949312,5,36,70,2,10.5,Fall-Manchester-Collection
Fall,9/1/2023 0:00,Manchester,53.483959,-2.244644,Instagram,Desktop,Discount,1540,0.01265,19.481,0.598,11.649638,8,502.8,103,9,10.5,Fall-Manchester-Discount
Fall,9/1/2023 0:00,Manchester,53.483959,-2.244644,Instagram,Mobile,Collection,2341,0.01639,38.36899,0.6,23.021394,8,85.4,31,6,6,Fall-Manchester-Collection
Fall,9/1/2023 0:00,Manchester,53.483959,-2.244644,Instagram,Mobile,Discount,2241,0.01507,33.77187,2.2,74.298114,2,169,138,33,6,Fall-Manchester-Discount
Fall,9/1/2023 0:00,Manchester,53.483959,-2.244644,Pinterest,Desktop,Collection,1547,0.0125,19.3375,1.1845,22.90526875,5,315.6,71,6,1.5,Fall-Manchester-Collection
Fall,9/1/2023 0:00,Manchester,53.483959,-2.244644,Pinterest,Desktop,Discount,964,0.0112,10.7968,0.115,1.241632,7,439.2,84,16,7.5,Fall-Manchester-Discount
Fall,9/1/2023 0:00,Manchester,53.483959,-2.244644,Pinterest,Mobile,Collection,2199,0.009,19.791,0.24,4.74984,1,167,68,6,7,Fall-Manchester-Collection
Fall,9/1/2023 0:00,Manchester,53.483959,-2.244644,Pinterest,Mobile,Discount,2176,0.0083,18.0608,0.59,10.655872,4,287,62,9,1,Fall-Manchester-Discount
Fall,9/2/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,2138,0.0125,26.725,1.0235,27.3530375,0,93.408,73,19,9,Fall-Birmingham-Collection
Fall,9/2/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1939,0.0102,19.7778,1.1615,22.9719147,4,223.104,96,6,10.5,Fall-Birmingham-Discount
Fall,9/2/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Mobile,Collection,3145,0.0109,34.2805,1.04,35.65172,0,99.68,84,24,6,Fall-Birmingham-Collection
Fall,9/2/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Mobile,Discount,2662,0.0131,34.8722,1.04,36.267088,5,93.52,127,27,6,Fall-Birmingham-Discount
Fall,9/2/2023 0:00,Birmingham,52.489471,-1.898575,Instagram,Desktop,Collection,1347,0.01408,18.96576,0.0805,1.52674368,4,169.68,37,5,16.5,Fall-Birmingham-Collection
